2024-12-10 11:40:31,615 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Configure stats pid to 140719
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Loading settings from /home/coder/.config/wandb/settings
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Loading settings from /home/coder/laopo/expotion/wandb/settings
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/coder/laopo/expotion/train.py', 'program': '/home/coder/laopo/expotion/train.py'}
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_init.py:_log_setup():533] Logging user logs to /home/coder/laopo/expotion/wandb/run-20241210_114031-k071diab/logs/debug.log
2024-12-10 11:40:31,616 INFO    MainThread:140719 [wandb_init.py:_log_setup():534] Logging internal logs to /home/coder/laopo/expotion/wandb/run-20241210_114031-k071diab/logs/debug-internal.log
2024-12-10 11:40:31,617 INFO    MainThread:140719 [wandb_init.py:init():619] calling init triggers
2024-12-10 11:40:31,617 INFO    MainThread:140719 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'epochs': 5, 'batch_size': 10, 'learning_rate': 0.01}
2024-12-10 11:40:31,617 INFO    MainThread:140719 [wandb_init.py:init():669] starting backend
2024-12-10 11:40:31,617 INFO    MainThread:140719 [wandb_init.py:init():673] sending inform_init request
2024-12-10 11:40:31,619 INFO    MainThread:140719 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-10 11:40:31,620 INFO    MainThread:140719 [wandb_init.py:init():686] backend started and connected
2024-12-10 11:40:31,628 INFO    MainThread:140719 [wandb_init.py:init():781] updated telemetry
2024-12-10 11:40:31,644 INFO    MainThread:140719 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-10 11:40:32,342 INFO    MainThread:140719 [wandb_init.py:init():867] starting run threads in backend
2024-12-10 11:40:32,758 INFO    MainThread:140719 [wandb_run.py:_console_start():2456] atexit reg
2024-12-10 11:40:32,758 INFO    MainThread:140719 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-10 11:40:32,758 INFO    MainThread:140719 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-10 11:40:32,758 INFO    MainThread:140719 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-10 11:40:32,764 INFO    MainThread:140719 [wandb_init.py:init():911] run started, returning control to user process
2024-12-10 11:43:35,881 WARNING MsgRouterThr:140719 [router.py:message_loop():75] message_loop has been closed
